Model Name,Dataset,Method Name,Accuracy,GPU Memory,Latency,Precision,Recall,F1 Score,Throughput,Energy
GPT2,AG News,HAQ,94.8421,0.8827,6.2786,94.831,94.8421,94.8335,159.2721,8039.2161
GPT2,AG News,HAWQ,94.8289,0.8827,6.3024,94.8186,94.8289,94.8208,158.6694,8064.5227
GPT2,AG News,Sensimix,92.8553,0.8827,6.2976,92.9785,92.8553,92.8832,158.79,8066.0084
GPT2,AG News,Duquant,94.8553,0.8632,6.7832,94.8531,94.8553,94.8532,147.4229,8687.1155
GPT2,AG News,Zeroquant,94.8553,0.8671,6.261,94.8505,94.8553,94.8521,159.7189,8006.3307
