Model Name,Dataset,Method Name,Accuracy,GPU Memory,Latency,Precision,Recall,F1 Score,Throughput,Energy
DistilBERT,AG News,HAQ,94.6053,0.785,2.9175,94.6149,94.6053,94.6091,342.7628,3699.624
DistilBERT,AG News,HAWQ,94.5921,0.785,2.9181,94.6055,94.5921,94.5973,342.6866,3704.7477
DistilBERT,AG News,Sensimix,93.1447,0.785,2.9209,93.225,93.1447,93.1484,342.3603,3700.3575
DistilBERT,AG News,Zeroquant,94.6974,0.7772,2.917,94.7045,94.6974,94.7003,342.8142,3680.442
DistilBERT,AG News,Duquant,94.6974,0.7616,3.331,94.7029,94.6974,94.6993,300.2119,4190.5265
